"IDPUBLICACION","IDTIPOPUBLICACION","IDFUENTE","NO_AUTORES","AÑO_PUBLICACION","TITULO","NOMBRE_LIBRO-REVISTA","EDITOR_LIBRO","VOL_REVISTA","NUM_REVISTA","EDITORIAL/INSTITUCION","FECHA_PUBLICACION","LUGAR_PUBLICACION","PAG_ARTICULO","PAG_PUBLICACION","suma"
33.00,1.00,1.00,1.00,"1976","Fossil puma (Mammalia: Felidae) in North America","Netherlands Journal of Zoology","ND",26.00,"4","ND","ND","ND","502-534","ND",1.00
34.00,1.00,1.00,1.00,"1975","A new Pleistocene genus of American mountain deer","Journal of Mammalogy","ND",56.00,"2","ND","ND","ND","507-508","ND",1.00
35.00,1.00,1.00,1.00,"1979","The stilt-legged deer Sangamona of the North-American Pleistocene","Boreas","ND",8.00,"ND","ND","ND","ND","313-321","ND",1.00
36.00,1.00,1.00,1.00,"1984","Geographic differentiation in the Rancholabrean dire wolf (Canis dirus Leidy) in North America","Special Publication, Carnegie Museum of Natural History","ND",0.00,"8","ND","ND","ND","218-227","ND",1.00
37.00,2.00,2.00,1.00,"1980","Late Pleistocene and Holocene mammals from Northern Mexico and their implications for archaeological research","Papers on the Prehistory of Northeastern Mexico and adjacent Texas","Epstein, Jeremian F., Thomas, Hester R. y Graves, Carol",0.00,"9","Center for archaeological Research, The University of Texas at San Antonio, Special Report","ND","ND","33-40","ND",1.00
38.00,1.00,2.00,1.00,"1983","Prehistoric extralimital records for Pappogeomys castanops (Geomyidae) in northwestern New Mexico","Journal of Mammalogy","ND",64.00,"3","ND","ND","ND","502-505","ND",1.00
39.00,1.00,2.00,1.00,"1948","Los vertebrados fósiles del cuaternario de México","Revista de la Sociedad Mexicana de Historia Natural","ND",9.00,"1","ND","ND","ND","1-35","ND",1.00
40.00,2.00,2.00,1.00,"1985","The Shasta ground sloth Nothrotheriops shastensis (Xenarthra, Megatheriidae) in the Middle Pleistocene of Florida","The Evolution and Ecology of Armadillos, Sloths, and Vermilinguas","Montgomery, G. Gene",0.00,"ND","Smithsonian Institution Press","ND","ND","95-104","ND",1.00
41.00,1.00,1.00,3.00,"1988","New species of fossil vampire bats (Mammalia: Chiroptera: Desmodontidae) from Florida and Venezuela","Proceedings of the Biological Society of Washington","ND",101.00,"4","ND","ND","ND","912-928","ND",1.00
42.00,1.00,1.00,1.00,"1987","Reconstruction of cranial morphology and analysis of function in the pleistocene ground sloth Nothrotheriops shastense (Mammalia, Megatheriidae)","Contributions in Science","ND",0.00,"389","ND","ND","ND","1-21","ND",1.00
43.00,1.00,2.00,1.00,"1963","Fossil remains of southern bog lemming in Pleistocene deposits of Texas","Journal of Mammalogy","ND",44.00,"2","ND","ND","ND","275-277","ND",1.00
44.00,1.00,1.00,1.00,"1974","The manus of Nothrotheriops shastense (Sinclair, 1905)","Anais do XXVIII Congresso Brasileiro de Geologia","ND",2.00,"ND","ND","ND","ND","165-176","ND",1.00
45.00,1.00,1.00,1.00,"1971","On two small Pleistocene ground-sloths","An Acad. Brasil. Ciênc.","ND",0.00,"43","ND","1971","ND","499-513","ND",1.00
46.00,1.00,1.00,1.00,"1960","Pleistocene pocket gophers from San Josecito Cave, Nuevo Leon, Mexico","University of Kansas Publications, Museum of Natural History","ND",9.00,"21","ND","ND","ND","539-548","ND",1.00
47.00,2.00,1.00,1.00,"1969","Intraespecific population structure of the species Pappogeomys castanops","Miscellaneous Publication University of Kansas Museum of Natural History","J. Knox Jones",0.00,"51","ND","ND","ND","337-371","ND",1.00
48.00,1.00,1.00,2.00,"1986","A new leporine (Lagomorpha: Leporidae) from Wisconsinan deposits of the Chihuahuan desert.","Journal of Mammalogy","ND",67.00,"4","ND","ND","ND","632-639","ND",1.00
49.00,1.00,2.00,1.00,"1969","Localidades de vertebrados fósiles en la República Mexicana","Paleontología Mexicana","ND",0.00,"28","ND","ND","ND","1-34","ND",1.00
50.00,1.00,1.00,1.00,"1993","Vertebrados fósiles del Museo de Geología de la UNAM","Revista de la Sociedad Mexicana de Paleontología","ND",6.00,"1","ND","ND","ND","71-103","ND",1.00
51.00,1.00,1.00,1.00,"1936","New type of ground sloth from the Late Cenozoic of Mexico. in: Minutes of the meeting of the Pacific Coast Branch of the Paleontological","Proceedings of the Geological Society of America for 1935","ND",0.00,"ND","ND","ND","ND","418-","ND",1.00
52.00,1.00,3.00,1.00,"1942","A ground sloth in Alaska","Science","ND",95.00,"ND","ND","ND","ND","552-553","ND",1.00
53.00,1.00,2.00,1.00,"1942","Cave of San Josecito, Nuevo Leon, Mexico in. Abstracts of the Geological Society of America, Cordilleran section meeting at California Institute of Tecnology in april","Bulletin of the Geological Society of America","ND",53.00,"12","ND","ND","ND","1822-","ND",1.00
54.00,1.00,3.00,1.00,"1943","The Cave of San Josecito, Mexico: new discoveries of the vertebrate life of the ice age","Balch Graduate School of Geological Sciences, California Institute of Technology","ND",0.00,"361","ND","ND","ND","1-5","ND",1.00
55.00,1.00,1.00,1.00,"1950","Bears from the Pleistocene Cave of San Josecito, Nuevo Leon, Mexico","Journal of the Washington Academy of Sciences","ND",40.00,"10","ND","ND","ND","317-321","ND",1.00
56.00,1.00,2.00,1.00,"1950","25,000-year-old horse","Engineering and Science","ND",0.00,"ND","ND","ND","ND","16-17","ND",1.00
57.00,1.00,2.00,1.00,"1953","El caballo pleistocénico (Equus conversidens leoni subsp. nov.) de la cueva de San Josecito, Aramberri, Nuevo León","Memorias del Congreso Científico Mexicano","ND",3.00,"ND","Universidad Nacional Autónoma de México","ND","ND","170-171","ND",1.00
58.00,1.00,2.00,3.00,"1987","Late Quaternary mammals from the Hueco Mountains, El Paso and Hudspeth Counties, Texas","The Southwestern Naturalist","ND",32.00,"2","ND","ND","ND","179-195","ND",1.00
59.00,1.00,2.00,1.00,"1990","On the relationships of Navahoceras (sic) to other New World Cervidae","Journal of Vertebrate Paleontology","ND",10.00,"3","ND","ND","ND","48A","ND",1.00
60.00,1.00,1.00,1.00,"1992","A cranium of Navahoceros and its phylogenetic place among New World Cervidae","Ann. Zool. Fennici","ND",28.00,"ND","ND","ND","ND","401-410","ND",1.00
61.00,1.00,1.00,1.00,"1985","Small Pleistocene felines of North America","Journal of Vertebrate Paleontology","ND",5.00,"3","ND","ND","ND","194-210","ND",1.00
62.00,1.00,3.00,1.00,"1955","Speciation and dispersal of the southern bog lemming, Synaptomys cooperi (Baird)","Journal of Mammalogy","ND",36.00,"1","ND","ND","ND","1-20","ND",1.00
63.00,1.00,1.00,1.00,"1970","Late Cenozoic Porcupines (Mammalia, Erethizontidae) of North America","American Museum Novitates","ND",0.00,"ND","ND","ND","ND","1-15","ND",1.00
64.00,1.00,3.00,1.00,"1942","Preliminary study of the fauna of Rampart Cave, Arizona","Contributions to Paleontology, Carnegie Institution of Washington","ND",530.00,"ND","ND","ND","ND","169-185","ND",1.00
65.00,2.00,1.00,1.00,"1969","Restos fósiles de mamíferos de Tlapacoya, Estado de México (Pleistoceno-Reciente)","Contributions in Mammalogy. A Volumen Honoring Professor E. Raymond Hall. Miscellaneus Publications","J. Knox Jones Jr.",0.00,"51","University of Kansas Museum of Natural History","ND","ND","93-112","428",1.00
66.00,1.00,2.00,2.00,"1990","Adenda a la descripción de Mormosa lorenzoi del Pleistoceno de México","Revista de la Sociedad Mexicana de Paleontología","ND",3.00,"1","ND","ND","ND","137-137","ND",1.00
67.00,1.00,2.00,1.00,"1981","The Plio-Pleistocene hyaena Chasmaporthetes ossifragus from Florida","Journal of Vertebrate Paleontology","ND",1.00,"3","ND","ND","ND","341-356","ND",1.00
68.00,1.00,1.00,2.00,"1994","Estudio de los restos de Neotoma (Rodentia: Cricetidae) del Pleistoceno-Holoceno de Tlapacoya, Estado de México, México, con descripción de dos nuevos taxa","Revista de la Sociedad Mexicana de Paleontología","ND",7.00,"2","ND","1994","ND","1-11","ND",1.00
69.00,1.00,1.00,2.00,"1965","The Pleistocene horse, Equus conversidens","The American Midland Naturalist","ND",74.00,"2","ND","ND","ND","408-417","ND",1.00
70.00,1.00,2.00,2.00,"1980","El registro de mamíferos terrestres del Mesozoico y Cenozoico de Baja California","Revista del Instituto de Geología","ND",4.00,"1","ND","ND","ND","56-62","ND",1.00
71.00,1.00,1.00,1.00,"1947","Report on a collection of mammal bones from archaeologic cave-sites in Coahuila, Mexico","Journal of Mammalogy","ND",28.00,"2","ND","ND","ND","147-165","ND",1.00
72.00,1.00,2.00,2.00,"1984","Late Cenozoic mammals from central Mexico","Journal of Vertebrate Paleontology","ND",4.00,"2","ND","ND","ND","216-236","ND",1.00
73.00,1.00,1.00,1.00,"1983","Pitymys meadensis Hibbard from the Valley of Mexico and the classification of North American species of Pytymys (Rodentia: Cricetidae)","Journal of Vertebrate Paleontology","ND",2.00,"4","ND","ND","ND","471-482","ND",1.00
74.00,1.00,1.00,1.00,"1987","El material de Proboscidea alojado en el Museo del Instituto de Geología: una evaluación","Revista de la Sociedad Mexicana de Paleontología","ND",1.00,"1","ND","ND","ND","300-312","ND",1.00
75.00,1.00,2.00,2.00,"1995","Eremotherium laurillardi: the panamerican Late Pleistocene megatheriid sloth","Journal of Vertebrate Paleontology","ND",15.00,"4","ND","ND","ND","830-841","ND",1.00
76.00,1.00,1.00,1.00,"1955","Nuevos hallazgos de antilocápridos en el Pleistoceno superior de Tequixquiac","Acta Zoologica Mexicana","ND",1.00,"7","ND","ND","ND","1-7","ND",1.00
77.00,1.00,1.00,1.00,"1959","La fauna ""Cedazo"" del Pleistoceno en Aguascalientes","Anales del Instituto de Biología, México","ND",0.00,"1-2","ND","1959","ND","409-452","ND",1.00
78.00,1.00,2.00,1.00,"1990","Una edad del Irvingtoniano al Rancholabreano para la fauna Cedazo del Estado de Aguascalientes.","Revista del Instituto de Geología","ND",9.00,"2","Universidad Nacional Autónoma de México","ND","ND","195-203","ND",1.00
79.00,1.00,3.00,2.00,"1986","Descripción de un milodóntido del Blancano temprano de la Mesa Central de México","Revista del Instituto de Geología","ND",6.00,"2","Universidad Nacional Autónoma de México","ND","ND","193-203","ND",1.00
80.00,1.00,2.00,2.00,"1994","Revisión de los équidos de la fauna Cedazo del Pleistoceno de Aguascalientes, México","Revista Mexicana de Ciencias Geológicas","ND",11.00,"1","ND","ND","ND","87-105","ND",1.00
81.00,1.00,1.00,1.00,"1967","La etapa lítica en México","Publicaciones del Departamento de Prehistoria","ND",0.00,"20","Instituto Nacional de Antropología e Historia","ND","ND","1-49","ND",1.00
82.00,1.00,2.00,1.00,"1948","Exploring northern Mexico's fossil deposits","El Palacio","ND",55.00,"1","ND","ND","ND","177-182","ND",1.00
83.00,1.00,2.00,2.00,"1988","New records of the small leporid Aztlanolagus agilis Rusell y Harris (Leporidae: Leporinae)","The Southwestern Naturalist","ND",33.00,"4","ND","ND","ND","391-396","ND",1.00
84.00,1.00,1.00,1.00,"1969","Comments on the associations of archaeological materials and extinct fauna in the Valsequillo region, Puebla, Mexico","American Antiquity","ND",34.00,"1","ND","ND","ND","82-83","ND",1.00
85.00,1.00,1.00,1.00,"1981","Zohapilco: cinco milenios de ocupación humana en un sitio lacustre de la Cuenca de México","American Antiquity","ND",46.00,"4","ND","ND","ND","951-953","ND",1.00
86.00,7.00,1.00,2.00,"1995","Los tapires del Pleistoceno tardío en el noroeste de México","Sociedad Mexicana de Paleontología, A.C.","ND",0.00,"ND","ND","ND","ND","2-3","ND",1.00
87.00,1.00,1.00,1.00,"1965","The Pleistocene carved bone from Tequixquiac, Mexico: a reapraisal","American Antiquity","ND",30.00,"3","ND","ND","ND","261-277","ND",1.00
88.00,1.00,1.00,2.00,"1975","A new species of camel (genus Camelops) from the Pleistocene of Aguascalientes, Mexico","The Southwestern Naturalist","ND",19.00,"4","ND","ND","ND","341-345","ND",1.00
89.00,1.00,1.00,1.00,"1986","A Late Pleistocene-Holocene fauna from Chihuahua, Mexico","The Southwestern Naturalist","ND",31.00,"3","ND","ND","ND","277-288","ND",1.00
90.00,1.00,1.00,1.00,"1954","The Pleistocene horse from San Josecito Cave, southern Nuevo Leon, Mexico","Division of Geological Sciences California Institute of Technology","ND",0.00,"535","ND","ND","ND","1-15","ND",1.00
91.00,5.00,1.00,1.00,"1971","A discriminant function analysis of osteological variance in the appendicular skeleton of selected Pleistocene carnivores from San Josecito Cave, Nuevo Leon, Mexico","ND","ND",0.00,"ND","ND","ND","ND","ND","34",1.00
92.00,5.00,1.00,1.00,"1968","Variation in the Pleistocene equid Equus conversidens leoni","ND","ND",0.00,"ND","The Faculty of the Departament of Zoology California State College at Los Angeles","ND","Los Angeles, California","ND","50",1.00
93.00,1.00,1.00,1.00,"1982(1983)","Restos de mamíferos recientes y pleistocénicos procedentes de las Grutas de Loltún, Yucatán, México","Cuadernos de Trabajo del Departamento de Prehistoria","ND",0.00,"26","Instituto Nacional de Antropología e Historia","ND","ND","7-35","ND",1.00
94.00,1.00,1.00,1.00,"1979","A preliminary investigation of the fauna of Cueva de la Zona de Derrumbes, a bockshelter in Nuevo Leon, Mexico","Research in Vertebrate Paleontology","ND",0.00,"ND","The University of Texas","ND","ND","1-32","32",1.00
95.00,1.00,1.00,1.00,"1976","Restos óseos de las excavaciones de Tlatilco Edo. de México","Cuadernos de Trabajo del Departamento de Prehistoria","ND",0.00,"15","Instituto Nacional de Antropología e Historia","ND","ND","3-18","ND",1.00
96.00,1.00,1.00,1.00,"1976","Restos óseos rescatados del cenote sagrado de Chichen Itza, Yucatán","Cuadernos de Trabajo del Departamento de Prehistoria","ND",0.00,"15","Instituto Nacional de Antropología e Historia","ND","ND","19-39","ND",1.00
97.00,1.00,1.00,1.00,"1963","Restos de mamíferos encontrados en una cueva de Valle Nacional, Oaxaca, México","Rev. Biol. Trop.","ND",11.00,"1","ND","ND","ND","57-61","ND",1.00
98.00,1.00,1.00,1.00,"1966","Roedores fósiles del Pleistoceno de Tequesquinahua, Estado de México, México","Acta Zoologica Mexicana","ND",8.00,"3","ND","ND","ND","1-16","ND",1.00
99.00,1.00,1.00,2.00,"1982","Restos pleistocénicos de dos especies de Microtus (Rodentia:Muridae), del norte de San Luis Potosí, México","Anales de la Escuela Nacional de Ciencias Biológicas","ND",26.00,"ND","Instituto Politécnico Nacional","ND","ND","47-53","ND",1.00
100.00,1.00,1.00,1.00,"1971","Variación de la figura oclusal del premolar inferior en carpinchos fósiles (Rodentia: Hydrochoeridae) de Jalisco, México","Serie Investigaciones del Instituto Nacional de Antropología e Historia","ND",0.00,"21","Instituto Nacional de Antropología e Historia","ND","ND","1-40","ND",1.00
101.00,1.00,1.00,1.00,"1972","Nuevo registro para el vampiro del Pleistoceno Desmodus stoki (sic) de Tlapacoya, México","Anales de la Escuela Nacional de Ciencias Biológicas","ND",19.00,"ND","Instituto Politécnico Nacional","ND","ND","163-165","ND",1.00
102.00,1.00,2.00,1.00,"1967","El Laboratorio de Paleozoología","Boletín","ND",0.00,"28","Instituto Nacional de Antropología e Historia","ND","ND","43-47","ND",1.00
103.00,1.00,1.00,1.00,"1964","Nota sobre restos óseos de mamíferos del Reciente, encontrados cerca de Tepeapulco, Hidalgo, México","Instituto Nacional de Antropología e Historia","ND",15.00,"ND","ND","ND","ND","1-15","ND",1.00
104.00,1.00,1.00,1.00,"1983","Notas sobre algunos roedores fósiles del Pleistoceno en México","Anales de la Escuela Nacional de Ciencias Biológicas","ND",27.00,"ND","Instituto Politécnico Nacional","ND","ND","149-163","ND",1.00
105.00,1.00,1.00,2.00,"1970","Late Pleistocene mammals from a Cave in Tamaulipas, Mexico","The Southwestern Naturalist","ND",15.00,"2","ND","ND","ND","217-230","ND",1.00
106.00,1.00,1.00,2.00,"1981","Glyptodonts of North America","Smithsonian Contributions to Paleobiology","ND",0.00,"40","ND","ND","ND","1-255","ND",1.00
107.00,5.00,1.00,1.00,"1995","Postcranial skeletal analysis of the Pleistocene deer, Navahoceros fricki (Cervidae)","ND","ND",0.00,"ND","ND","ND","ND","ND","144",1.00
108.00,1.00,1.00,1.00,"1993","The Pleistocene small carnivores of eastern Beringia","The Canadian Field-Naturalist","ND",107.00,"2","ND","ND","ND","139-163","ND",1.00
109.00,1.00,1.00,1.00,"1991","Excavación y rescate de restos fosilizados de vertebrados en el estado de Nuevo León, México","Memoria de la II Reunión Nacional de Colecciones Paleontológicas","ND",0.00,"ND","ND","ND","ND","6-11","ND",1.00
110.00,1.00,1.00,2.00,"1967","New records of fossil marsupials from the Pleistocene of Mexico","The Texas Journal of Science","ND",19.00,"1","ND","ND","ND","ND","ND",1.00
111.00,1.00,1.00,1.00,"1955","Pleistocene vertebrates from the Upper Becerra (Becerra Superior) Formation, Valley of Tequixquiac, México, with notes on other Pleistocene forms","Contributions from the Museum of Paleontology, University of Michigan","ND",12.00,"5","University of Michigan","ND","ND","47-96","ND",1.00
112.00,1.00,1.00,1.00,"1954","Sobre un rinoceronte fósil de Sinaloa, México","Revista de la Sociedad Mexicana de Historia Natural","ND",15.00,"1-4","ND","ND","ND","141-146","ND",1.00
113.00,1.00,1.00,2.00,"1991","Preliminary report of the Pleistocene mammals of the Valley of the Axamilpa river, near Tepeji de Rodriguez, Puebla, México","Current Research in the Pleistocene","ND",8.00,"ND","ND","ND","ND","99-102","ND",1.00
114.00,1.00,1.00,2.00,"1985","Artificial phallus or fallacious artifact: a cautionary note","Current Research in the Pleistocene","Mead, Jim I.",2.00,"ND","ND","ND","ND","67-68","ND",1.00
115.00,1.00,3.00,2.00,"1991","Colección Paleontológica de la Facultad de Ciencias Marinas, Ensenada, Baja California","Memoria de la II Reunión Nacional de Colecciones Paleontológicas","ND",0.00,"ND","ND","ND","ND","25-27","ND",1.00
116.00,1.00,3.00,2.00,"1991","Colección Paleontológica de la Subdirección de Servicios Académicos, Instituto Nacional de Antropología e Historia","Memoria de la II Reunión Nacional de Colecciones Paleontológicas","ND",0.00,"ND","ND","ND","ND","55-57","ND",1.00
117.00,1.00,3.00,1.00,"1991","La Colección Paleontológica de la Facultad de Ingeniería, UNAM","Memoria de la II Reunión Nacional de Colecciones Paleontológicas","ND",0.00,"ND","ND","ND","ND","29-33","ND",1.00
118.00,1.00,3.00,2.00,"1991","Colección Paleozoológica y Osteoteca del Instituto de Investigaciones Antropológicas de la UNAM","Memoria de la II Reunión Nacional de Colecciones Paleontológicas","ND",0.00,"ND","ND","ND","ND","62-65","ND",1.00
119.00,1.00,3.00,1.00,"1987","La Colección Paleontológica del Depto. de Prehistoria","Primera reunión Nacional de Encargados de Colleciones Paleontológicas en docencia","Hernández Láscares, Delfino",0.00,"ND","ND","ND","ND","ND","ND",1.00
120.00,2.00,1.00,2.00,"1991","Restos óseos de vertebrados terrestres de las ofrendas del Templo Mayor, ciudad de México.","La fauna en el Templo Mayor","Polaco, Oscar J.",0.00,"ND","Asociación de Amigos del Templo Mayor, Instituto Nacional de Antropología e Historia y García y Valadés editores, SA de CV","ND","ND","105-147","263",1.00
121.00,4.00,1.00,1.00,"1977","Fauna local Laguna de la Media Luna, Pleistoceno Tardío, Municipio de Río Verde, San Luis Potosí, México","ND","ND",0.00,"ND","Universidad Nacional Autónoma de México","ND","ND","ND","102",1.00
122.00,2.00,1.00,1.00,"1986","La fauna arqueológica de El Meco","Excavaciones arqueológicas en El Meco, Quintana Roo, 1977","Andrews, Antonio P. y Robles Castellanos, Fernando",0.00,"158","Colección Científica, Serie Arqueología, Instituto Nacional de Antropología e Historia","1986","ND","67-75","162",1.00
123.00,1.00,1.00,2.00,"1975","Pleistocene mammals from Aguascalientes, central México","Journal of Mammalogy","ND",56.00,"4","ND","ND","ND","781-820","ND",1.00
124.00,1.00,2.00,1.00,"1972","Synopsis of Late Pliocene and Pleistocene bats of North America and the Antilles","The American Midland Naturalist","ND",87.00,"2","ND","ND","ND","326-335","ND",1.00
125.00,1.00,2.00,1.00,"1985","The distribution and chronology of mammoth in the New World","Acta Zoologica Fennica","ND",0.00,"170","ND","ND","ND","221-224","ND",1.00
126.00,1.00,1.00,1.00,"1976","Identificación de los huesos rescatados en la segunda temporada en Santa Marta, Chiapas (Cala HH/KK). in: Excavaciones en el abrigo de Santa Marta, Chis. (1974).","Informes del Departamento de Prehistoria","ND",0.00,"1","Instituto Nacional de Antropología e Historia","ND","ND","24-29","ND",1.00
127.00,1.00,1.00,1.00,"1975","Restos óseos animales de las Cuevas del Texcal y Tepeyolo, Puebla, México","Cuadernos de Trabajo del Departamento de Prehistoria","ND",0.00,"12","Instituto Nacional de Antropología e Historia","ND","ND","1-55","ND",1.00
128.00,1.00,1.00,1.00,"1976","Restos óseos de la primera excavación de Santa Marta Chiapas (Cala A/B). in: Excavaciones en el abrigo de Santa Marta, Chis (1974).","Informes del Departamento de Prehistoria","ND",0.00,"1","Instituto Nacional de Antropología e Historia","ND","ND","17-23","ND",1.00
129.00,2.00,1.00,1.00,"1986","Fauna pleistocénica","Tlapacoya: 35000 años de historia del Lago de Chalco","Lorenzo, José Luis y Mirambell, Lorena",0.00,"155","Colección Científica. serie Prehistoria, INAH","ND","ND","173-203","297",1.00
